# Weather data downloaded from https://www.ncdc.noaa.gov/cdo-web/search
"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-26",,,"0.00","0.0","0.0",,"99","67",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-27",,,"0.00","0.0","0.0",,"101","70",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-28",,,"0.00","0.0","0.0",,"107","73",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-29",,,"0.00","0.0","0.0",,"88","64",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-30",,,"0.00","0.0","0.0",,"78","62",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-01",,,"0.00","0.0","0.0",,"76","64",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-02",,,"0.00","0.0","0.0",,"80","63",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-03",,,"0.00","0.0","0.0",,"85","59",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-04",,,"0.00","0.0","0.0",,"82","59",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-05",,,"0.00","0.0","0.0",,"76","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-06",,,"0.00","0.0","0.0",,"85","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-07",,,"0.00","0.0","0.0",,"72","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-08",,,"0.00","0.0","0.0",,"73","53",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-09",,,"0.00","0.0","0.0",,"81","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-10",,,"0.00","0.0","0.0",,"80","60",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-11",,,"0.00","0.0","0.0",,"81","55",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-12",,,"0.00","0.0","0.0",,"83","57",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-13",,,"0.00","0.0","0.0",,"83","56",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-14",,,"0.00","0.0","0.0",,"76","56",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-15",,,"0.00","0.0","0.0",,"72","56",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-16",,,"0.00","0.0","0.0",,"71","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-07-17",,,"0.00","0.0","0.0",,"77","56",
